,0
356,55
357,157
358,31
359,63
360,33
361,127
362,21
363,145
364,148
365,24
366,68
367,131
368,162
369,110
370,124
371,69
372,125
373,93
374,117
375,197
376,108
377,38
378,146
379,30
380,85
381,105
382,153
383,144
384,31
385,105
386,25
387,138
388,51
389,159
390,116
391,156
392,61
393,61
394,144
395,155
396,30
397,169
398,15
399,180
400,195
401,81
402,10
403,82
404,70
405,26
406,3
407,21
408,133
409,107
410,196
411,198
412,103
413,86
414,120
415,84
416,41
417,55
418,37
419,183
420,22
421,154
422,198
423,84
424,20
425,71
426,99
427,5
428,37
429,12
430,156
431,41
432,35
433,59
434,108
435,169
436,63
437,80
438,76
439,125
440,120
441,84
442,45
443,74
444,30
445,82
446,131
447,89
448,24
449,143
450,159
451,116
452,91
453,173
454,186
455,167
456,124
457,98
458,5
459,133
460,39
461,47
462,115
463,22
464,193
465,137
466,59
467,55
468,174
469,26
470,158
471,118
472,134
473,119
474,28
475,163
476,116
477,136
478,141
479,7
480,175
481,82
482,77
483,85
484,6
485,187
486,127
487,74
488,75
489,21
490,177
491,105
492,184
493,125
494,156
495,43
496,84
497,149
498,99
499,70
500,123
501,99
502,158
503,19
504,183
505,29
506,175
507,0
508,91
509,39
510,68
511,132
512,134
513,81
514,77
515,85
516,161
517,76
518,108
519,137
520,175
521,135
522,163
523,73
524,16
525,104
526,79
527,131
528,26
529,90
530,147
531,142
532,37
533,124
534,48
535,192
536,5
537,27
538,84
539,76
540,35
541,75
542,122
543,66
544,103
545,52
546,40
547,40
548,179
549,46
550,114
551,111
552,81
553,90
554,81
555,78
556,148
557,156
558,56
559,58
560,53
561,27
562,36
563,42
564,67
565,118
566,20
567,173
568,157
569,129
570,152
571,16
572,103
573,147
574,1
575,21
576,162
577,161
578,98
579,77
580,9
581,86
582,152
583,142
584,70
585,47
586,150
587,26
588,31
589,49
590,87
591,87
592,134
593,6
594,25
595,83
596,105
597,124
598,95
599,79
600,177
601,68
602,187
603,119
604,156
605,174
606,158
607,170
608,147
609,90
610,44
611,64
612,29
613,26
614,57
615,170
616,182
617,143
618,161
619,57
620,128
621,66
622,175
623,145
624,192
625,22
626,67
627,187
628,197
629,79
630,27
631,71
632,51
633,187
634,4
635,190
636,37
637,117
638,24
639,37
640,70
641,59
642,52
643,171
644,86
645,140
646,6
647,52
648,0
649,139
650,6
651,49
652,168
653,44
654,175
655,18
656,22
657,153
658,29
659,68
660,29
661,127
662,188
663,159
664,199
665,97
666,65
667,14
668,162
669,183
670,185
671,50
672,182
673,77
674,145
675,74
676,46
677,69
678,27
679,42
680,142
681,27
682,115
683,40
684,137
685,60
686,76
687,16
688,148
689,45
690,83
691,79
692,136
693,166
694,57
695,20
696,91
697,61
698,80
699,197
700,86
701,46
702,143
703,177
704,81
705,64
706,38
707,150
708,137
709,190
710,143
711,35
712,105
713,104
714,20
715,108
716,30
717,131
718,81
719,70
720,99
721,103
722,30
723,60
724,62
725,148
726,59
727,196
728,187
729,132
730,186
731,190
732,197
733,25
734,139
735,45
736,169
737,1
738,15
739,123
740,153
741,193
742,77
743,138
744,183
745,199
746,23
747,49
748,112
749,132
750,161
751,197
752,93
753,166
754,58
755,139
756,143
757,170
758,150
759,170
760,194
761,46
762,72
763,63
764,128
765,165
766,184
767,172
768,112
769,170
770,131
771,152
772,102
773,155
774,79
775,167
776,43
777,49
778,116
779,98
780,150
781,87
782,50
783,156
784,23
785,18
786,97
787,51
788,12
789,98
790,0
791,80
792,22
793,152
794,179
795,144
796,68
797,154
798,87
799,50
800,104
801,7
802,42
803,25
804,192
805,72
806,25
807,158
808,10
809,13
810,10
811,160
812,147
813,111
814,145
815,173
816,103
817,108
818,29
819,78
820,119
821,96
822,116
823,186
824,135
825,101
826,184
827,2
828,157
829,60
830,149
831,137
832,168
833,28
834,126
835,37
836,73
837,12
838,172
839,116
840,65
841,0
842,179
843,39
844,20
845,51
846,163
847,149
848,166
849,80
850,71
851,150
852,155
853,181
854,130
855,77
856,57
857,191
858,16
859,71
860,173
861,199
862,169
863,179
864,178
865,199
866,132
867,187
868,181
869,94
870,56
871,55
872,129
873,77
874,0
875,186
876,55
877,103
878,14
879,157
880,176
881,37
882,150
883,19
884,127
885,116
886,40
887,181
888,105
889,100
890,182
891,122
892,133
893,30
894,21
895,66
896,178
897,155
898,43
899,171
900,68
901,60
902,129
903,111
904,87
905,83
906,196
907,48
908,57
909,137
910,38
911,198
912,13
913,149
914,13
915,121
916,0
917,158
918,129
919,88
920,113
921,10
922,67
923,69
924,54
925,83
926,170
927,189
928,7
929,184
930,191
931,109
932,79
933,195
934,78
935,68
936,80
937,182
938,131
939,89
940,160
941,89
942,135
943,77
944,143
945,127
946,64
947,61
948,97
949,104
950,146
951,103
952,189
953,185
954,145
955,177
956,125
957,67
958,78
959,141
960,180
961,30
962,184
963,106
964,76
965,166
966,131
967,1
968,109
969,112
970,154
971,141
972,43
973,190
974,102
975,143
976,13
977,27
978,96
979,195
980,104
981,171
982,87
983,165
984,40
985,69
986,104
987,138
988,27
989,27
990,190
991,181
992,75
993,109
994,121
995,0
996,56
997,88
998,61
999,120
1000,176
1001,93
1002,91
1003,85
1004,109
1005,103
1006,190
1007,109
1008,4
1009,55
1010,11
1011,145
1012,152
1013,72
1014,30
1015,92
1016,34
1017,116
1018,186
1019,179
1020,158
1021,54
1022,107
1023,81
1024,198
1025,23
1026,183
1027,51
1028,190
1029,46
1030,120
1031,64
1032,129
1033,111
1034,118
1035,173
1036,88
1037,154
1038,189
1039,179
1040,97
1041,34
1042,164
1043,169
1044,96
1045,176
1046,158
1047,113
1048,179
1049,78
1050,20
1051,23
1052,146
1053,82
1054,67
1055,99
1056,127
1057,117
1058,90
1059,179
1060,41
1061,83
1062,79
1063,140
1064,50
1065,35
1066,107
1067,198
1068,33
1069,181
1070,138
1071,53
1072,62
1073,94
1074,6
1075,24
1076,113
1077,111
1078,105
1079,194
1080,13
1081,148
1082,190
1083,7
1084,88
1085,79
1086,163
1087,107
1088,94
1089,69
1090,16
1091,86
1092,157
1093,5
1094,186
1095,66
1096,6
1097,112
1098,131
1099,109
1100,196
1101,157
1102,160
1103,134
1104,9
1105,170
1106,191
1107,190
1108,101
1109,118
1110,5
1111,177
1112,192
1113,6
1114,130
1115,130
1116,150
1117,104
1118,134
1119,2
1120,32
1121,97
1122,163
1123,160
1124,41
1125,171
1126,139
1127,164
1128,34
1129,146
1130,106
1131,170
1132,199
1133,117
1134,23
1135,80
1136,73
1137,53
1138,145
1139,134
1140,132
1141,65
1142,136
1143,54
1144,31
1145,68
1146,103
1147,12
1148,66
1149,59
1150,3
1151,70
1152,117
1153,122
1154,141
1155,162
1156,104
1157,185
1158,168
1159,127
1160,136
1161,74
1162,11
1163,111
1164,94
1165,116
1166,116
1167,130
1168,125
1169,32
1170,49
1171,98
1172,144
1173,4
1174,78
1175,129
1176,13
1177,105
1178,93
1179,8
1180,169
1181,44
1182,186
1183,40
1184,54
1185,39
1186,143
1187,78
1188,148
1189,31
1190,93
1191,9
1192,190
1193,176
1194,154
1195,32
1196,191
1197,142
1198,34
1199,86
1200,45
1201,176
1202,177
1203,91
1204,115
1205,125
1206,106
1207,33
1208,106
1209,198
1210,155
1211,102
1212,67
1213,111
1214,73
1215,76
1216,96
1217,95
1218,12
1219,12
1220,33
1221,137
1222,186
1223,75
1224,38
1225,27
1226,154
1227,149
1228,141
1229,12
1230,95
1231,95
1232,174
1233,95
1234,158
1235,152
1236,127
1237,58
1238,68
1239,43
1240,99
1241,43
1242,128
1243,39
1244,132
1245,80
1246,19
1247,143
1248,10
1249,191
1250,140
1251,44
1252,32
1253,156
1254,91
1255,10
1256,159
1257,131
1258,69
1259,140
1260,51
1261,83
1262,178
1263,59
1264,159
1265,44
1266,13
1267,87
1268,122
1269,131
1270,45
1271,12
1272,167
1273,6
1274,14
1275,189
1276,104
1277,74
1278,24
1279,0
1280,96
1281,172
1282,133
1283,196
1284,171
1285,46
1286,187
1287,3
1288,88
1289,113
1290,156
1291,95
1292,19
1293,115
1294,92
1295,73
1296,36
1297,99
1298,4
1299,152
1300,174
1301,33
1302,5
1303,164
1304,30
1305,42
1306,134
1307,101
1308,67
1309,196
1310,121
1311,93
1312,16
1313,34
1314,112
1315,39
1316,137
1317,9
1318,20
1319,121
1320,110
1321,137
1322,68
1323,194
1324,129
1325,185
1326,151
1327,108
1328,4
1329,124
1330,72
1331,110
1332,145
1333,179
1334,109
1335,108
1336,46
1337,66
1338,89
1339,70
1340,176
1341,119
1342,16
1343,73
1344,58
1345,188
1346,11
1347,58
1348,148
1349,73
1350,143
1351,133
1352,81
1353,22
1354,92
1355,114
1356,166
1357,142
1358,23
1359,103
1360,96
1361,138
1362,199
1363,163
1364,194
1365,150
1366,83
1367,131
1368,81
1369,190
1370,104
1371,165
1372,41
1373,113
1374,26
1375,189
1376,153
1377,178
1378,17
1379,9
1380,14
1381,12
1382,105
1383,178
1384,85
1385,53
1386,73
1387,123
1388,71
1389,15
1390,24
1391,24
1392,128
1393,152
1394,145
1395,142
1396,117
1397,136
1398,96
1399,11
1400,178
1401,199
1402,6
1403,45
1404,25
1405,98
1406,59
1407,143
1408,120
1409,181
1410,44
1411,156
1412,109
1413,22
1414,56
1415,159
1416,180
1417,114
1418,64
1419,4
1420,160
1421,107
1422,25
1423,59
1424,30
1425,18
1426,58
1427,96
1428,134
1429,157
1430,14
1431,155
1432,186
1433,184
1434,113
1435,145
1436,178
1437,154
1438,152
1439,153
1440,107
1441,50
1442,128
1443,95
1444,30
1445,6
1446,92
1447,136
1448,100
1449,116
1450,53
1451,101
1452,160
1453,23
1454,172
1455,9
1456,54
1457,8
1458,90
1459,114
1460,100
1461,10
1462,38
1463,177
1464,130
1465,30
1466,74
1467,153
1468,114
1469,119
1470,94
1471,196
1472,145
1473,177
1474,130
1475,163
1476,125
1477,153
1478,155
1479,15
1480,45
1481,149
1482,194
1483,108
1484,175
1485,123
1486,48
1487,193
1488,19
1489,130
1490,165
1491,176
1492,47
1493,132
1494,70
1495,88
1496,86
1497,0
1498,31
1499,116
1500,77
1501,110
1502,12
1503,186
1504,25
1505,170
1506,120
1507,196
1508,35
1509,62
1510,67
1511,32
1512,120
1513,23
1514,96
1515,168
1516,148
1517,41
1518,128
1519,17
1520,94
1521,39
1522,20
1523,151
1524,198
1525,34
1526,177
1527,24
1528,142
1529,189
1530,186
1531,164
1532,13
1533,146
1534,8
1535,56
1536,24
1537,171
1538,92
1539,157
1540,167
1541,158
1542,7
1543,143
1544,49
1545,9
1546,143
1547,168
1548,81
1549,182
1550,39
1551,154
1552,135
1553,198
1554,31
1555,22
1556,43
1557,156
1558,80
1559,61
1560,17
1561,44
1562,170
1563,43
1564,52
1565,183
1566,137
1567,89
1568,48
1569,67
1570,98
1571,80
1572,5
1573,163
1574,18
1575,134
1576,6
1577,140
1578,24
1579,149
1580,33
1581,18
1582,172
1583,142
1584,2
1585,81
1586,165
1587,152
1588,141
1589,63
1590,48
1591,73
1592,27
1593,78
1594,62
1595,55
1596,80
1597,98
1598,20
1599,99
1600,73
1601,146
1602,166
1603,113
1604,133
1605,183
1606,123
1607,9
1608,38
1609,116
1610,175
1611,20
1612,132
1613,141
1614,188
1615,102
1616,189
1617,111
1618,63
1619,22
1620,57
1621,164
1622,41
1623,97
1624,53
1625,76
1626,90
1627,105
1628,74
1629,138
1630,164
1631,194
1632,91
1633,40
1634,17
1635,119
1636,105
1637,11
1638,185
1639,199
1640,98
1641,74
1642,177
1643,25
1644,100
1645,163
1646,162
1647,199
1648,86
1649,191
1650,171
1651,42
1652,35
1653,179
1654,168
1655,133
1656,122
1657,99
1658,102
1659,142
1660,145
1661,151
1662,14
1663,50
1664,66
1665,83
1666,19
1667,1
1668,7
1669,97
1670,146
1671,90
1672,139
1673,80
1674,142
1675,135
1676,42
1677,167
1678,54
1679,131
1680,42
1681,165
1682,52
1683,75
1684,74
1685,42
1686,57
1687,13
1688,110
1689,175
1690,24
1691,198
1692,139
1693,29
1694,119
1695,118
1696,74
1697,126
1698,57
1699,191
1700,123
1701,54
1702,149
1703,9
1704,169
1705,126
1706,111
1707,81
1708,57
1709,77
1710,94
1711,161
1712,122
1713,170
1714,77
1715,75
1716,144
1717,93
1718,151
1719,166
1720,101
1721,29
1722,8
1723,171
1724,63
1725,73
1726,94
1727,122
1728,71
1729,10
1730,185
1731,169
1732,68
1733,184
1734,140
1735,125
1736,52
1737,16
1738,105
1739,168
1740,108
1741,94
1742,141
1743,171
1744,144
1745,135
1746,31
1747,33
1748,74
1749,175
1750,182
1751,120
1752,51
1753,105
1754,57
1755,105
1756,197
1757,73
1758,63
1759,48
1760,106
1761,151
1762,0
1763,182
1764,147
1765,35
1766,161
1767,194
1768,86
1769,147
1770,65
1771,176
1772,1
1773,35
1774,54
1775,59
1776,193
1777,45
1778,84
1779,50
1780,25
1781,120
1782,167
1783,151
1784,101
1785,29
1786,196
1787,20
1788,44
1789,142
1790,191
1791,3
1792,178
1793,45
1794,186
1795,25
1796,152
1797,133
1798,119
1799,164
1800,117
1801,44
1802,157
1803,165
1804,113
1805,176
1806,122
1807,32
1808,13
1809,58
1810,145
1811,14
1812,194
1813,159
1814,25
1815,29
1816,101
1817,5
1818,37
1819,144
1820,79
1821,53
1822,3
1823,139
1824,29
1825,105
1826,50
1827,77
1828,16
1829,16
1830,85
1831,191
1832,141
1833,2
1834,13
1835,98
1836,16
1837,32
1838,142
1839,149
1840,15
1841,196
1842,9
1843,113
1844,165
1845,146
1846,88
1847,176
1848,83
1849,72
1850,47
1851,102
1852,153
1853,125
1854,31
1855,117
1856,192
1857,91
1858,115
1859,55
1860,135
1861,40
1862,15
1863,92
1864,144
1865,87
1866,48
1867,115
1868,10
1869,71
1870,162
1871,18
1872,49
1873,104
1874,54
1875,35
1876,2
1877,69
1878,34
1879,37
1880,90
1881,113
1882,121
1883,6
1884,180
1885,107
1886,189
1887,110
1888,102
1889,162
1890,37
1891,72
1892,188
1893,55
1894,153
1895,100
1896,197
1897,22
1898,4
1899,142
1900,24
1901,77
1902,105
1903,184
1904,170
1905,12
1906,2
1907,139
1908,2
1909,28
1910,140
1911,97
1912,169
1913,0
1914,31
1915,174
1916,126
1917,132
1918,72
1919,91
1920,92
1921,155
1922,179
1923,104
1924,70
1925,182
1926,185
1927,86
1928,105
1929,183
1930,48
1931,143
1932,189
1933,199
1934,66
1935,130
1936,112
1937,107
1938,54
1939,180
1940,146
1941,36
1942,110
1943,164
1944,80
1945,140
1946,111
1947,24
1948,52
1949,70
1950,142
1951,124
1952,147
1953,15
1954,41
1955,189
1956,60
1957,110
1958,11
1959,176
1960,199
1961,82
1962,174
1963,171
1964,187
1965,175
1966,61
1967,76
1968,132
1969,109
1970,62
1971,25
1972,44
1973,118
1974,143
1975,97
1976,48
1977,44
1978,5
1979,59
1980,179
1981,166
1982,132
1983,158
1984,130
1985,17
1986,167
1987,132
1988,17
1989,28
1990,27
1991,158
1992,183
1993,4
1994,149
1995,2
1996,198
1997,181
1998,52
1999,88
2000,45
2001,160
2002,5
2003,29
2004,178
2005,64
2006,12
2007,106
2008,162
2009,17
2010,123
2011,76
2012,15
2013,195
2014,46
2015,174
2016,129
2017,141
2018,13
2019,29
2020,3
2021,92
2022,85
2023,117
2024,86
2025,173
2026,125
2027,60
2028,100
2029,169
2030,51
2031,115
2032,139
2033,138
2034,103
2035,126
2036,88
2037,62
2038,14
2039,181
2040,98
2041,45
2042,174
2043,158
2044,187
2045,62
2046,167
2047,137
2048,54
2049,91
2050,99
2051,51
2052,197
2053,139
2054,162
2055,66
2056,110
2057,23
2058,72
2059,46
2060,90
2061,168
2062,66
2063,141
2064,160
2065,56
2066,118
2067,62
2068,78
2069,19
2070,68
2071,144
2072,32
2073,88
2074,13
2075,190
2076,34
2077,12
2078,8
2079,94
2080,95
2081,57
2082,117
2083,167
2084,9
2085,114
2086,107
2087,9
2088,31
2089,193
2090,82
2091,186
2092,115
2093,5
2094,162
2095,198
2096,76
2097,27
2098,196
2099,104
2100,181
2101,27
2102,95
2103,37
2104,146
2105,119
2106,190
2107,81
2108,37
2109,33
2110,160
2111,52
2112,114
2113,113
2114,87
2115,156
2116,64
2117,119
2118,60
2119,50
2120,6
2121,199
2122,178
2123,76
2124,132
2125,167
2126,138
2127,44
2128,59
2129,98
2130,64
2131,116
2132,36
2133,81
2134,90
2135,112
2136,59
2137,150
2138,194
2139,173
2140,165
2141,1
2142,48
2143,53
2144,113
2145,128
2146,93
2147,174
2148,87
2149,60
2150,159
2151,111
2152,20
2153,147
2154,169
2155,86
2156,66
2157,78
2158,17
2159,59
2160,170
2161,3
2162,6
2163,26
2164,51
2165,151
2166,170
2167,65
2168,192
2169,61
2170,169
2171,46
2172,177
2173,83
2174,51
2175,156
2176,42
2177,11
2178,171
2179,22
2180,112
2181,133
2182,29
2183,88
2184,71
2185,133
2186,133
2187,94
2188,49
2189,146
2190,124
2191,113
2192,22
2193,170
2194,101
2195,146
2196,6
2197,121
2198,164
2199,45
2200,81
2201,36
2202,112
2203,145
2204,124
2205,137
2206,71
2207,180
2208,173
2209,55
2210,159
2211,46
2212,37
2213,76
2214,84
2215,70
2216,72
2217,139
2218,165
2219,25
2220,124
2221,164
2222,82
2223,49
2224,154
2225,4
2226,129
2227,46
2228,0
2229,177
2230,182
2231,146
2232,160
2233,46
2234,49
2235,74
2236,42
2237,7
2238,26
2239,58
2240,41
2241,0
2242,172
2243,87
2244,110
2245,13
2246,21
2247,84
2248,32
2249,58
2250,150
2251,186
2252,95
2253,12
2254,22
2255,176
2256,84
2257,128
2258,161
2259,16
2260,60
2261,44
2262,178
2263,49
2264,104
2265,195
2266,36
2267,28
2268,100
2269,139
2270,87
2271,168
2272,86
2273,71
2274,165
2275,120
2276,90
2277,58
2278,194
2279,42
2280,96
2281,124
2282,91
2283,113
2284,55
2285,25
2286,40
2287,144
2288,52
2289,39
2290,134
2291,16
2292,159
2293,106
2294,16
2295,148
2296,158
2297,79
2298,130
2299,71
2300,26
2301,47
2302,3
2303,135
2304,10
2305,100
2306,75
2307,111
2308,147
2309,7
2310,5
2311,126
2312,101
2313,62
2314,194
2315,29
2316,184
2317,190
2318,5
2319,41
2320,112
2321,81
2322,100
2323,15
2324,197
2325,160
2326,130
2327,65
2328,117
2329,167
2330,56
2331,57
2332,63
2333,138
2334,49
2335,144
2336,149
2337,23
2338,145
2339,120
2340,174
2341,135
2342,70
2343,10
2344,188
2345,73
2346,170
2347,167
2348,88
2349,40
2350,23
2351,49
2352,96
2353,64
2354,161
2355,30
2356,61
2357,83
2358,172
2359,96
2360,51
2361,12
2362,54
2363,143
2364,66
2365,73
2366,91
2367,20
2368,174
2369,169
2370,164
2371,39
2372,181
2373,84
2374,76
2375,167
2376,38
2377,140
2378,131
2379,172
2380,1
2381,92
2382,50
2383,49
2384,58
2385,115
2386,182
2387,171
2388,148
2389,127
2390,170
2391,192
2392,76
2393,104
2394,101
2395,72
2396,192
2397,154
2398,122
2399,33
2400,45
2401,199
2402,131
2403,161
2404,29
2405,112
2406,107
2407,32
2408,194
2409,58
2410,135
2411,5
2412,3
2413,176
2414,8
2415,126
2416,91
2417,86
2418,26
2419,50
2420,127
2421,190
2422,13
2423,48
2424,58
2425,72
2426,197
2427,199
2428,18
2429,98
2430,33
2431,122
2432,97
2433,121
2434,93
2435,149
2436,100
2437,183
2438,2
2439,184
2440,93
2441,125
2442,60
2443,58
2444,187
2445,73
2446,170
2447,116
2448,181
2449,162
2450,107
2451,51
2452,98
2453,124
2454,168
2455,140
2456,166
2457,113
2458,181
2459,12
2460,15
2461,168
2462,60
2463,105
2464,65
2465,96
2466,159
2467,190
2468,39
2469,196
2470,130
2471,128
2472,21
2473,181
2474,98
2475,113
2476,175
2477,148
2478,64
2479,133
2480,87
2481,106
2482,7
2483,151
2484,60
2485,5
2486,42
2487,179
2488,23
2489,109
2490,39
2491,139
2492,21
2493,189
2494,168
2495,34
2496,36
2497,106
2498,124
2499,167
2500,50
2501,17
2502,60
2503,181
2504,5
2505,96
2506,104
2507,173
2508,18
2509,3
2510,77
2511,0
2512,20
2513,175
2514,151
2515,105
2516,135
2517,13
2518,151
2519,188
2520,11
2521,96
2522,124
2523,89
2524,42
2525,126
2526,161
2527,96
2528,99
2529,102
2530,111
2531,126
2532,55
2533,59
2534,62
2535,6
2536,197
2537,21
2538,49
2539,176
2540,28
2541,147
2542,171
2543,125
2544,180
2545,162
2546,40
2547,43
2548,96
2549,161
2550,129
2551,152
2552,60
2553,169
2554,165
2555,73
2556,22
2557,16
2558,198
2559,1
2560,170
2561,72
2562,103
2563,121
2564,179
2565,33
2566,175
2567,90
2568,47
2569,161
2570,105
2571,75
2572,88
2573,43
2574,111
2575,144
2576,143
2577,132
2578,143
2579,57
2580,12
2581,125
2582,76
2583,36
2584,78
2585,171
2586,10
2587,86
2588,38
2589,18
2590,185
2591,25
2592,87
2593,129
2594,116
2595,85
2596,63
2597,33
2598,191
2599,36
2600,2
2601,27
2602,54
2603,55
2604,142
2605,184
2606,189
2607,132
2608,3
2609,18
2610,192
2611,26
2612,131
2613,124
2614,165
2615,107
2616,197
2617,78
2618,28
2619,137
2620,82
2621,188
2622,134
2623,184
2624,149
2625,160
2626,41
2627,108
2628,184
2629,183
2630,83
2631,85
2632,123
2633,1
2634,136
2635,2
2636,67
2637,127
2638,180
2639,149
2640,160
2641,3
2642,165
2643,85
2644,166
2645,115
2646,195
2647,75
2648,181
2649,95
2650,136
2651,83
2652,141
2653,52
2654,148
2655,102
2656,85
2657,189
2658,48
2659,193
2660,59
2661,166
2662,88
2663,183
2664,119
2665,174
2666,5
2667,138
2668,88
2669,3
2670,162
2671,10
2672,64
2673,167
2674,175
2675,17
2676,192
2677,183
2678,4
2679,30
2680,26
2681,183
2682,63
2683,20
2684,196
2685,67
2686,64
2687,56
2688,14
2689,160
2690,144
2691,60
2692,150
2693,110
2694,153
2695,160
2696,24
2697,170
2698,35
2699,198
2700,95
2701,4
2702,178
2703,173
2704,72
2705,43
2706,127
2707,123
2708,112
2709,116
2710,134
2711,148
2712,164
2713,47
2714,139
2715,145
2716,109
2717,51
2718,130
2719,38
2720,15
2721,164
2722,157
2723,62
2724,182
2725,106
2726,133
2727,153
2728,28
2729,171
2730,172
2731,56
2732,159
2733,43
2734,83
2735,167
2736,182
2737,19
2738,193
2739,16
2740,118
2741,124
2742,160
2743,101
2744,121
2745,108
2746,57
2747,119
2748,34
2749,92
2750,74
2751,14
2752,74
2753,140
2754,106
2755,81
2756,8
2757,48
2758,102
2759,90
2760,95
2761,3
2762,165
2763,25
2764,88
2765,161
2766,187
2767,38
2768,122
2769,110
2770,61
2771,79
2772,196
2773,30
2774,114
2775,121
2776,39
2777,50
2778,191
2779,51
2780,133
2781,48
2782,180
2783,21
2784,146
2785,57
2786,167
2787,22
2788,6
2789,167
2790,84
2791,3
2792,96
2793,87
2794,194
2795,98
2796,50
2797,78
2798,23
2799,194
2800,116
2801,95
2802,177
2803,46
2804,95
2805,116
2806,155
2807,194
2808,188
2809,99
2810,149
2811,171
2812,183
2813,14
2814,125
2815,182
2816,181
2817,15
2818,53
2819,71
2820,29
2821,22
2822,99
2823,89
2824,140
2825,161
2826,84
2827,20
2828,80
2829,69
2830,42
2831,142
2832,74
2833,50
2834,93
2835,102
2836,122
2837,87
2838,147
2839,174
2840,8
2841,8
2842,64
2843,59
2844,122
2845,111
2846,126
2847,17
2848,92
2849,174
2850,195
2851,37
2852,137
2853,118
2854,88
2855,175
2856,126
2857,173
2858,138
2859,157
2860,89
2861,68
2862,90
2863,43
2864,17
2865,114
2866,105
2867,152
2868,89
2869,54
2870,96
2871,8
2872,100
2873,136
2874,130
2875,150
2876,140
2877,28
2878,31
2879,137
2880,148
2881,169
2882,6
2883,33
2884,129
2885,152
2886,34
2887,164
2888,16
2889,46
2890,7
2891,68
2892,138
2893,48
2894,106
2895,79
2896,142
2897,110
2898,41
2899,157
2900,140
2901,109
2902,80
2903,167
2904,140
2905,191
2906,121
2907,140
2908,154
2909,129
2910,149
2911,138
2912,160
2913,8
2914,131
2915,157
2916,19
2917,55
2918,119
2919,141
2920,93
2921,179
2922,69
2923,117
2924,160
2925,148
2926,189
2927,43
2928,154
2929,32
2930,94
2931,134
2932,118
2933,104
2934,134
2935,34
2936,126
2937,17
2938,155
2939,35
2940,75
2941,159
2942,127
2943,183
2944,160
2945,32
2946,127
2947,76
2948,111
2949,10
2950,69
2951,118
2952,131
2953,88
2954,114
2955,4
2956,79
2957,185
2958,66
2959,3
2960,198
2961,170
2962,163
2963,48
2964,119
2965,32
2966,197
2967,36
2968,169
2969,135
2970,133
2971,144
2972,14
2973,85
2974,191
2975,88
2976,10
2977,53
2978,115
2979,119
2980,11
2981,34
2982,170
2983,97
2984,10
2985,119
2986,29
2987,73
2988,166
2989,5
2990,43
2991,171
2992,11
2993,186
2994,63
2995,59
2996,150
2997,146
